,Doctor_Names,Specialization,Experience,Hospital_Name,Area,City,Consultation_Fees,Doctor_recommondations
1916,Dr. K Swaroopa,Dermatologist,22 ,Ritu's Advanced Skin Care,Gachibowli,Hyderabad,500,86 
1917,Dr. Ridhima Yadava,,12 ,Oliva Skin & Hair Clinic,Banjara Hills,Hyderabad,600,100 
1918,Dr. Pilli  Manasa Veena,,11 ,Oliva Skin and Hair Clinic,Himayat Nagar,Hyderabad,600,93 
1919,Dr. Srushanth Mukka,Dermatologist,11 ,Euderm Skin and Hair Clinic,Kokapet,Hyderabad,600,100 
1920,Dr. Veman Enthangi,,18 ,Ellora Skin & Cosmetology Clinic,Kondapur,Hyderabad,600,96 
1922,Dr. K. Prapanna Arya,,19 ,Dental De Care,Domlur,Bangalore,500,100 
1923,Dr. Kiran Petkar,,21 ,Practo Hospitals - Neo,Electronics City,Bangalore,700,97 
1924,Dr. Suhas S,,13 ,Life Is Beautiful Clinic,Basavanagudi,Bangalore,700,100 
1925,Dr. Naveen Kumar,,19 ,BGS Gleneagles Global Hospital,Kengeri,Bangalore,700,99 
1926,Dr. Deepak Devakar,,19 ,Dermasculpt Hair Transplant and Skin Clinic,JP Nagar,Bangalore,600,98 
1927,Dr. Idris Md,,14 ,CLINIQUE - Internationale,Jayanagar,Bangalore,500,99 
1928,Dr. K C Dharam Kumar,,9 ,Epiderma Skin and Hair Clinic,JP Nagar,Bangalore,750,99 
1929,Dr. Kisalay Saurav,,20 ,Manipal Hospital,Hebbal,Bangalore,1090,93 
1930,Dr. Parthasarathi Dutta Roy,,20 ,Dr. Partha Sarathi's Asian Hair And Skin Hospitals,MG Road,Bangalore,700,89 
1931,Dr. Sandeep Mahapatra,,18 ,Neo Follicle Transplant Clinic,Marathahalli,Bangalore,800,90 
1934,Dr. Vicky Jain,,17 ,Practo Care Surgeries,Borivali West,Mumbai,999,99 
1935,Dr. Kiran Katkar,,38 ,Dr Kiran Katkar's Dermis Skin Wellness Clinic Lase,Dadar West,Mumbai,1200,93 
1936,Dr. Vikas Halwai,,14 ,Derma Dent Aesthetic clinic,Chinchpokli,Mumbai,800,91 
1937,Dr. Mohd Asif,,11 ,Cara Hair Transplant and Aesthetic Center,Santacruz West,Mumbai,1000,100 
1938,Dr. Angad Shetye,,13 ,The Smile Hub Dental Orthodontic  And Maxillofacial Clinic,Kandivali West,Mumbai,500,100 
1939,Dr. Sujit Shanshanwal,Dermatologist,14 ,SkinAmour Clinic,Santacruz West,Mumbai,1000,99 
1940,Dr. Haresh  Timbadia,Dermatologist,42 ,Bienaura Clinic,Borivali West,Mumbai,1200,95 
1941,Dr. Sumit Agrawal,,22 ,Harleys Cosmetic & Women Clinic,Andheri West,Mumbai,1500,98 
1942,Dr. Raina Nahar,,15 ,Kaizen Skin Clinic,Andheri West,Mumbai,1000,92 
1943,Dr. Suraj Shetty,Dermatologist,14 ,Tvaksh Advanced Skin And Hair Clinic,Andheri West,Mumbai,900,98 
1945,Dr. Charan J C,,14 ,Practo Care Surgeries,Anna Nagar,Chennai,499,100 
1946,Dr. K A Balasundaram,,18 ,Practo Care Surgeries,Velachery,Chennai,500,100 
1947,Dr. Ariganesh,,16 ,Derma Clinix,Mylapore,Chennai,500,89 
1948,Dr. Lakshmi Durga M,,18 ,Oliva Skin & Hair Clinic,Anna Nagar,Chennai,600,99 
1949,Dr. Azra Fatima N,,11 ,Oliva Skin & Hair Clinic,Adyar,Chennai,600,99 
1950,Dr. Sasikumar Muthu,,22 ,Pearl Health,Alwarpet,Chennai,1000,99 
1951,Dr. Sindhura Mandava,,13 ,AESTIQ Skin Laser and spine Clinic,T Nagar,Chennai,500,89 
1952,Dr. Rajeshwari,,20 ,Dr.Rajeshwari's Skin & Hair Care Private Limited,T Nagar,Chennai,750,83 
1953,Dr. R. Sowmiya,,21 ,Dr. Vijay's Hospital,Mogappair East,Chennai,300,97 
1954,Dr. Nidhi Singh,,18 ,Gleneagles Global Health City,Perumbakkam,Chennai,800,100 
1957,Dr. Swapna Athavale,,19 ,Practo Care Surgeries,Baner,Pune,999,100 
1958,Dr. Vasant Gholave,,23 ,Practo Care Surgeries,JM Road,Pune,800,98 
1959,Dr. Sonal Chavan,Dermatologist,17 ,Dr. Sonnal Chavaan Aesthetic Clinic,Pimple Saudagar,Pune,700,90 
1960,Dr. L K Desai,,28 ,"Dr. Desai Dermacare- Skin, Hair & Laser Clinic",Sopan Baug,Pune,500,94 
1961,Dr. Hitesh Laad,,23 ,Authentic Hair Transplant and Cosmetic Centre,Baner,Pune,600,96 
1962,Dr. Bhushan Patil,,16 ,Miracle Touch Cosmetic Surgery & Laser Clinic,Pimple Saudagar,Pune,800,97 
1963,Dr. Nitin Jain,,21 ,Skin And Surgery International & Asia Institute Of Hair Transplant,Kothrud,Pune,700,97 
1964,Dr. Ajinkya S. Patil,,8 ,Clinique Internationale,Baner,Pune,400,100 
1965,Dr. Pallavi Ahire Shelke,,16 ,SkinEthics Skin Clinic & Dermatosurgery Center,Baner,Pune,600,97 
1966,Dr. Pradeep Kumari,,20 ,Skin And Surgery International & Asia Institute Of Hair Transplant,Viman Nagar,Pune,700,96 
1969,Dr. Tapeshwar Sehgal,,25 ,Practo Care Surgeries,Janakpuri,Delhi,699,75 
1970,Dr. Ashutosh Mishra,,23 ,Practo Care Surgeries,Greater Kailash Part 1,Delhi,999,83 
1971,Dr. Lokesh Handa,,13 ,Practo Care Surgeries,Greater Kailash Part 1,Delhi,699,90 
1972,Dr. Vijay Singhal,,18 ,Zenith Skin Hair & Dental Centre,Punjabi Bagh,Delhi,800,94 
1973,Dr. Arihant Surana,Dermatologist,23 ,Monaris Skin and Hair Clinic,Defence Colony,Delhi,1000,96 
1974,Dr. Anuj Saigal,,15 ,MedRootz Clinics,Green Park,Delhi,1000,98 
1975,Dr. Navnit Haror,Dermatologist,10 ,Derma Miracle Skin And Hair Transplant Clinic,Greater Kailash Part 1,Delhi,1000,90 
1976,Dr. Aamir Siddiqui,,15 ,Dr. Siddiqui's Skin Clinic,New Friends Colony,Delhi,2000,96 
1977,Dr. Sonia Mangal,,14 ,MYRA Skin & Hair Solutions,Panchsheel Park,Delhi,1500,96 
1978,Dr. Lipy Gupta,Dermatologist,18 ,Green Park Family Medicine Clinic,Green Park,Delhi,800,96 
1980,Dr. Harikiran Chekuri,,17 ,Practo Care Surgeries,Gachibowli,Hyderabad,699,97 
1981,Dr. Beena Valandi,,13 ,Practo Care Surgeries,SR Nagar,Hyderabad,699,100 
1982,Dr. Vemuru sudhakar Prasad,,42 ,Apollo Hospitals,Jubilee Hills,Hyderabad,1500,64 
1983,Dr. V.K.Srinagesh,,37 ,Apollo Hospitals,Jubilee Hills,Hyderabad,1000,71 
1984,Dr. Venu Kumari,Dermatologist,18 ,Dr. Venus Insititue of Skin & Hair,Chanda Nagar,Hyderabad,500,86 
1985,Dr. Guru Karna Vemula,,20 ,Personiks,Manikonda,Hyderabad,1000,100 
1986,Dr. Saguna Puttoo,,20 ,Dr. Saguna's Premier Dermatology Clinic,Kukatpally,Hyderabad,600,94 
1987,Dr. Shridharan,,23 ,Apollo Hospital,Hyderguda,Hyderabad,1000,94 
1988,Dr. Madhavi Pudi,Dermatologist,16 ,Dr. Madhavis Advanced Skin Hair and Laser Clinic,Balkampet,Hyderabad,800,91 
1989,Dr. Ravichander Rao A,,18 ,Hair Sure Hair Transplant Centre,Habsiguda,Hyderabad,600,100 
1991,Dr. Naveen Kumar,,19 ,BGS Gleneagles Global Hospital,Kengeri,Bangalore,700,99 
1992,Dr. Deepak Devakar,Dermatologist,19 ,Dermasculpt Hair Transplant and Skin Clinic,JP Nagar,Bangalore,600,98 
1993,Dr. Idris Md,,14 ,CLINIQUE - Internationale,Jayanagar,Bangalore,500,99 
1994,Dr. Kiran Prasad N V,,18 ,K S Multispeciality Clinic,Bannerghatta Road,Bangalore,500,99 
1995,Dr. Ranganath v s,,21 ,SurgiDerma Hospital,HRBR Layout,Bangalore,750,100 
1996,Dr. Kisalay Saurav,,20 ,Manipal Hospital,Hebbal,Bangalore,1090,93 
1997,Dr. Parthasarathi Dutta Roy,,20 ,Dr. Parthasarathi's Hair and Skin Hospitals,Indiranagar,Bangalore,700,89 
1998,Dr. Rajdeep,Dermatologist,14 ,Chirag Hospital,JP Nagar 2 Phase,Bangalore,750,96 
1999,Dr. Priyadarshan K,,33 ,Manipal Hospital,Hebbal,Bangalore,980,86 
2000,Dr. Sandeep Mahapatra,Dermatologist,18 ,Derma Solutions,Marathahalli,Bangalore,800,90 
2003,Dr. Kiran Katkar,,38 ,Dr Kiran Katkar's Dermis Skin Wellness Clinic Lase,Dadar West,Mumbai,1200,93 
2004,Dr. Mohd Asif,Dermatologist,11 ,Cara Hair Transplant and Aesthetic Center,Santacruz West,Mumbai,1000,100 
2005,Dr. Mukund Jaganathan,,30 ,Apollo Spectra Hospitals,Chembur,Mumbai,1200,100 
2006,Dr. Sujit Shanshanwal,Dermatologist,14 ,SkinAmour Clinic,Santacruz West,Mumbai,1000,99 
2007,Dr. Abhishek Ramesh Chauhan,,15 ,Sharan Hospital,Ghatkopar West,Mumbai,1000,98 
2008,Dr. Haresh  Timbadia,Dermatologist,42 ,Bienaura Clinic,Borivali West,Mumbai,1200,95 
2009,Dr. Sumit Agrawal,,22 ,Harleys Cosmetic & Women Clinic,Andheri West,Mumbai,1500,98 
2010,Dr. Yogesh Kalyanpad,Dermatologist,13 ,SkinAmour Clinic,Santacruz West,Mumbai,1000,100 
2011,Dr. Raina Nahar,,15 ,Kaizen Skin Clinic,Andheri West,Mumbai,1000,92 
2012,Dr. Suraj Shetty,Dermatologist,14 ,Tvaksh Advanced Skin And Hair Clinic,Andheri West,Mumbai,900,98 
2014,Dr. Ganga Ravikumar,Dermatologist,33 ,Dermis Skin & Hair Clinic,Adyar,Chennai,700,96 
2015,Dr. Sasikumar Muthu,,22 ,Pearl Health,Alwarpet,Chennai,1000,99 
2016,Dr. Rajkumar Kannan,Dermatologist,17 ,Fortis Malar Hospital,Adyar,Chennai,500,100 
2017,Dr. V.Purushothaman,,33 ,Fortis Malar Hospital,Adyar,Chennai,500,100 
2018,Dr. Ariganesh,Dermatologist,16 ,Derma Clinix,Mylapore,Chennai,500,89 
2019,Dr. Meenakshi M,,11 ,Oliva Skin And Hair Clinic,Alwarpet,Chennai,600,99 
2020,Dr. A.Selvam,Dermatologist,28 ,Fortis Malar Hospital,Adyar,Chennai,500,67 
2021,Dr. Amudha,Dermatologist,28 ,Amudha's Skin Care Clinic,Velachery,Chennai,350,96 
2022,Dr. Narayanamurthy,General Physician,39 ,Vbn Murthy,Alwarpet,Chennai,750,99 
2023,Dr. Renita Rajan,,18 ,Render Skin & Hair,Egmore,Chennai,1200,96 
2026,Dr. Vasant Gholave,,23 ,Practo Care Surgeries,JM Road,Pune,800,98 
2027,Dr. Sonal Chavan,Dermatologist,17 ,Dr. Sonnal Chavaan Aesthetic Clinic,Pimple Saudagar,Pune,700,90 
2028,Dr. L K Desai,,28 ,"Dr. Desai Dermacare- Skin, Hair & Laser Clinic",Sopan Baug,Pune,500,94 
2029,Dr. Hitesh Laad,,23 ,Authentic Hair Transplant and Cosmetic Centre,Baner,Pune,600,96 
2030,Dr. Vijay Nagdev,,13 ,The Skin Doctors,Pimpri-Chinchwad,Pune,700,93 
2031,Dr. Sushil Chaudhary,,13 ,Skinovate Laser & Cosmetic Surgery Center LLP,Pimple Saudagar,Pune,600,92 
2032,Dr. Pushkar Deshpande,,22 ,Perfection Plastic Surgery Clinic,Kothrud,Pune,1000,96 
2033,Dr. Ashutosh Shende,,16 ,"Root Care Dental, Skin & Hair Clinic",Kothrud,Pune,600,98 
2034,Dr. Shreyans Sankhala,,9 ,Skin Mantra & Hair transplant centre,Koregaon Park,Pune,400,99 
2035,Dr. M. Sajid Mughal,,14 ,"Zayn Skin, Hair & Laser Clinic",BT Kawade Road,Pune,600,98 
2038,Dr. Tapeshwar Sehgal,,25 ,Practo Care Surgeries,Janakpuri,Delhi,699,75 
2039,Dr. Ashutosh Mishra,,23 ,Practo Care Surgeries,Greater Kailash Part 1,Delhi,999,83 
2040,Dr. Lokesh Handa,,13 ,Practo Care Surgeries,Greater Kailash Part 1,Delhi,699,90 
2041,Dr. Lokesh,,37 ,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,2000,91 
2042,Dr. Shruti Gupta,Dermatologist,13 ,SKINOS,Kamla Nagar,Delhi,1000,99 
2043,Dr. Nikhil Mehta,,17 ,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1000,94 
2044,Dr. Anuj Saigal,,15 ,MedRootz Clinics,Green Park,Delhi,1000,97 
2045,Dr. Sajal Halder,,27 ,Orange Tree - Aesthetic & Hair Restoration Centre,Defence Colony,Delhi,2000,96 
2046,Dr. Gaurav Garg,Dermatologist,16 ,Dermalife Skin Hair Clinic,Green Park,Delhi,1200,92 
2047,Dr. Navnit Haror,Dermatologist,10 ,Derma Miracle Skin And Hair Transplant Clinic,Greater Kailash Part 1,Delhi,1000,90 
2050,Dr. Sahaja Reddy,Dentist,13 ,Sahaja Dental Clinic,Mansoorabad,Hyderabad,500,99 
2051,Dr. Manchana Ashok Kumar,Dentist,17 ,Eledent International Dental Hospital,Kondapur,Hyderabad,300,98 
2052,Dr. S Sreedhar Reddy,Dentist,24 ,Esthetix Dental ,West Marredpally,Hyderabad,500,100 
2053,Dr. Ravindra Ratolikar,Dentist,40 ,Dr. Ravindra Ratolikar's Dental Clinic,Narayanguda,Hyderabad,500,98 
2054,Dr. Anil Kumar Reddy K,Dentist,24 ,I Dental,Alwal,Hyderabad,400,96 
2055,Dr. Srinivas R Bogavalli,Dentist,18 ,Clips & Implants Dental Studio,Manikonda,Hyderabad,500,98 
2056,Dr. Srikanth Guduguntla,Dentist,26 ,Smile Miles Dental Hospital,Begumpet,Hyderabad,500,92 
2057,Dr. Swetha Moravineni,Dentist,7 ,Ekadanta Dental Care,Kondapur,Hyderabad,500,100 
2058,Dr. Siva Srinivas,Dentist,19 ,Anandbagh Super Speciality Dental Hospital,Malkajgiri,Hyderabad,500,94 
2059,Dr. Udayagiri Gopi,Dentist,18 ,LN Dental,KPHB,Hyderabad,500,98 
2062,Dr. Rashmi Shetty,Dentist,18 ,Chisel Dental,Koramangala,Bangalore,500,99 
2063,Dr. Sumanth Shetty,Dentist,24 ,Chisel Dental,Koramangala,Bangalore,500,97 
2064,Dr. Anjali Shetty,Dentist,21 ,Dental and Orthodontic Clinic,Kalyan Nagar,Bangalore,500,99 
2065,Dr. Ganesh Shetty,Dentist,25 ,Dental and Orthodontic Clinic,Kalyan Nagar,Bangalore,500,98 
2066,Dr. T. Ramakrishna,Dentist,25 ,Dental Profiles Clinic,JP Nagar 7 Phase,Bangalore,500,95 
2067,Dr. Jnanesha H.C,Dentist,21 ,Excel Dental Care,Jayanagar 4 Block,Bangalore,500,98 
2068,Dr. K B Shilpashree,Dentist,21 ,Dental Profiles Clinic,JP Nagar 7 Phase,Bangalore,500,94 
2069,Dr. Sindhu S Kumar,Dentist,14 ,Excel Dental Care,Jayanagar 4 Block,Bangalore,500,100 
2070,Dr. K.A. Mohan,Dentist,54 ,Dental De Care,Domlur,Bangalore,500,100 
2071,Dr. Parul Shrivastav,Dentist,17 ,Practo Hospitals - Neo,Electronics City,Bangalore,700,100 
2074,Dr. Rajesh Shetty,Dentist,27 ,Dazzle Dental Clinic,Bandra West,Mumbai,500,99 
2075,Dr. Ashitesh Kumar,Dentist,12 ,Dental Home-A Multi-Specialty Dental Clinic,Chembur East,Mumbai,500,100 
2076,Dr. Rajiv Rajan,Dentist,24 ,Raj Dental Clinic,Chembur East,Mumbai,500,100 
2077,Dr. Darshan Hiralal Vora,Dentist,25 ,Dr. Vora's Dental Care,Mulund West,Mumbai,500,99 
2078,Dr. Nikhil Surana,Dentist,14 ,Bright 32 Dental Care & Orthodontic Centre,Kandivali East,Mumbai,500,96 
2079,Dr. Suhani Talesara,Dentist,14 ,Dr. Suhani's Dr. Dentist Multispeciality Dental Clinic,Jogeshwari,Mumbai,500,100 
2080,Dr. Priyanka Deshpande,Dentist,20 ,Vitalis Dental Care,Borivali West,Mumbai,600,99 
2081,Dr. Alok Shah,Dentist,12 ,Smile Plus Dental Clinic,Powai,Mumbai,200,98 
2082,Dr. Sandhya Biyani,Dentist,13 ,Divine Smiles Dental Care,Bandra West,Mumbai,500,99 
2083,Dr. Reshma Phulwar,Dentist,26 ,32 Pearls Dental Clinic,Chembur,Mumbai,700,96 
2086,Dr. Subashini,Dentist,18 ,Dew Cosmetic Clinic,Valasaravakkam,Chennai,500,100 
2087,Dr. Roshan Rayen,Dentist,23 ,Rayen Dental Care Center,Nungambakkam,Chennai,500,98 
2088,Dr. Vivek Pandian,Dentist,11 ,Dr Vivek's MSRam's Dentistry,Chromepet,Chennai,500,98 
2089,Dr. N. Nanda Kumar,Dentist,28 ,Sai Faciomaxillary & Dental Center,KK Nagar,Chennai,300,91 
2090,Dr. P.Uma Devi,Dentist,18 ,Uma's Dental Care,Valasaravakkam,Chennai,250,99 
2091,Dr. T. Sivasankari,Dentist,20 ,Harsini Dental Clinic,Mogappair,Chennai,500,90 
2092,Dr. Balaji K,Dentist,27 ,KB DENTAL CLINIC ORTHODONTIC AND IMPLANT CENTER,Anna Nagar,Chennai,600,100 
2093,Dr. Aarthi Praveen,Dentist,17 ,Dr Aarthi Dental Care Medinspire,Navalur,Chennai,500,100 
2094,Dr. M.Srikanth,Dentist,22 ,Smile Solutions Family Dentistry,Chromepet,Chennai,500,98 
2095,Dr. Prem Kumar,Dentist,16 ,Just Smile Dental & ENT Specialities,Madipakkam,Chennai,500,97 
2098,Dr. Hemant Patil,Dentist,16 ,Laconic Dental Studio,Pimple Saudagar,Pune,500,93 
2099,Dr. Surbhi Bhatia L,Dentist,18 ,Lifeberries Health,Viman Nagar,Pune,500,97 
2100,Dr. Rohit Jethale,Dentist,13 ,Dentalist - The Smile Experts,Kharadi,Pune,500,100 
2101,Dr. Anjali V. Mugal,Dentist,14 ,Divine Multispeciality Dental Clinic and Implant Centre,Kharadi,Pune,500,100 
2102,Dr. Shardul Sontakke,Dentist,23 ,Smile Gallery Dental Care Centre,Kothrud,Pune,500,99 
2103,Dr. Vishal S Mugal,Dentist,15 ,Divine Multispeciality Dental Clinic and Implant Centre,Kharadi,Pune,500,99 
2104,Dr. Ganesh,Dentist,14 ,DentalTree (Implants - Cosmetics - Lasers),Aundh,Pune,500,97 
2105,Dr. Puja Bansal,Dentist,24 ,Prudent International Health Clinic,Kalyani Nagar,Pune,500,97 
2106,Dr. Gaurav Gupta,Dentist,19 ,Fresh Smiles,Wanowrie,Pune,500,99 
2107,Dr. Ashish Gupta,Dentist,18 ,Acme Dental Lounge,Aundh,Pune,500,98 
2110,Dr. Pankaj Rao,Dentist,17 ,Oraa Care Smile Dental Clinic,Dwarka,Delhi,500,97 
2111,Dr. Rajat Sachdeva,Dentist,17 ,Dr. Sachdeva's Dental Aesthetic & Implant Centre,Ashok Vihar,Delhi,500,95 
2112,Dr. Ravneet Kaur,Dentist,14 ,Dr Sharma’s Dental Clinic,Vasant Vihar,Delhi,1000,100 
2113,Dr. Harveen Nakra,Dentist,23 ,Dental World,Punjabi Bagh,Delhi,500,100 
2114,Dr. Shivani Agarwal,Dentist,23 ,Indraprastha Apollo Hospitals,Sarita Vihar,Delhi,700,99 
2115,Dr. Mayank Mukhi,Dentist,15 ,Max Smart Superspeciality Hospital,Saket,Delhi,600,97 
2116,Dr. Aval Luthra,Dentist,22 ,Dental Arche,Vasant Kunj,Delhi,700,97 
2117,Dr. Harleen Gandhi Kalsi,Dentist,14 ,Meraki Dental Studio,South Extension 2,Delhi,700,100 
2118,Dr. Vinod Khanna,Dentist,14 ,Complete Dental Care,Ramesh Nagar,Delhi,500,98 
2119,Dr. Manreet Sidhu,Dentist,12 ,The Dental Experience,Greater Kailash Part 2,Delhi,1000,100 
2121,Dr. Syed Siddique Hussain,,30 ,Practo Care Surgeries,Santosh Nagar,Hyderabad,499,100 
2122,Dr. Sushanth Bachu,,13 ,Practo Care Surgeries,Secunderabad,Hyderabad,499,100 
2123,Dr. Harikrishnan V,,16 ,Eyeris Eye Care,Sainikpuri,Hyderabad,500,100 
2124,Dr. Sucharitha,,20 ,Eyeris Eye Care Nagaram,Ecil,Hyderabad,800,80 
2125,Dr. N V R Murthy,,24 ,Dr. Murthy Eye Hospital,KPHB,Hyderabad,400,99 
2126,Dr. Sree Kumar Reddy,,40 ,Apollo Hospitals,Jubilee Hills,Hyderabad,800,95 
2127,Dr. Indumathy T Ramachandran,,34 ,Apollo Hospitals,Jubilee Hills,Hyderabad,800,100 
2128,Dr. Rajesh Fogla,,30 ,Apollo Hospitals,Jubilee Hills,Hyderabad,800,95 
2129,Dr. Shikha Fogla,,31 ,Apollo Hospitals,Jubilee Hills,Hyderabad,800,100 
2130,Dr. Rachna Vinaya Kumar,,19 ,Apollo Hospitals,Jubilee Hills,Hyderabad,1000,100 
2132,Dr. Yogesh D,,22 ,Practo Care Surgeries,Rajarajeshwarinagar,Bangalore,499,100 
2133,Dr. Pinto Kiran,,12 ,Samarth Nethralaya,Vijayanagar,Bangalore,500,76 
2134,Dr. Prashant Singh,,24 ,New Vision Care,Kammana Halli,Bangalore,200,100 
2135,Dr. Vinay Patil,,21 ,Sankalp Nethralaya and PolyClinic,HSR Layout,Bangalore,500,89 
2136,Dr. M B Trishala,,33 ,Manipal Hospital,Jayanagar 9 Block,Bangalore,650,100 
2137,Dr. Shalini Shetty,,30 ,Apollo Speciality Hospitals,Jayanagar,Bangalore,630,92 
2138,Dr. Sanghamitra Burman,,24 ,SightYears Eye Clinic,Indiranagar,Bangalore,750,99 
2139,Dr. Rajesh Parekh,,27 ,"Manipal Hospital, Millers Road",Millers Road,Bangalore,1000,100 
2140,Dr. Deepa M,,16 ,Manipal Hospital,Hebbal,Bangalore,800,92 
2141,Dr. Devaraj M,,21 ,Dr. Agarwal's Eye Hospital,Rajajinagar,Bangalore,400,100 
2144,Dr. Saumil Sheth,,23 ,Practo Care Surgeries,Jogeshwari West,Mumbai,499,97 
2145,Dr. Vishal Maniar,,17 ,Practo Care Surgeries,Dadar West,Mumbai,1000,100 
2146,Dr. Sachin V Shah,,24 ,Practo Care Surgeries,Mulund East,Mumbai,799,80 
2147,Dr. Bulchandani Santosh Kumar Kamal,,23 ,Practo Care Surgeries,Bandra West,Mumbai,299,100 
2148,Dr. Pranay Kapadia,,24 ,Practo Care Surgeries,Bandra West,Mumbai,799,100 
2149,Dr. Prachi Parmar,,13 ,Practo Care Surgeries,Ghatkopar,Mumbai,499,100 
2150,Dr. Bhavesh Gohil,,23 ,Clear Vision Eye Clinic,Wadala,Mumbai,600,99 
2151,Dr. Rajesh Mishra,,17 ,R AND R EYE CARE HOSPITAL,Matunga East,Mumbai,1500,100 
2152,Dr. Shalomith Uppapalli,,15 ,Arohi Eye Hospital,Andheri West,Mumbai,1000,100 
2153,Dr. Priti H Nirmal,,10 ,Dr. Priti's Eye Clinic,Malad West,Mumbai,500,100 
2155,Dr. Shanmuga Priya,,13 ,Practo Care Surgeries,Ashok Nagar,Chennai,500,100 
2156,Dr. J. Arun Kumar,,23 ,Practo Care Surgeries,Ashok Nagar,Chennai,500,80 
2157,Dr. Naveen Narendranath,,17 ,R.K. Eye Centre,T Nagar,Chennai,500,100 
2158,Dr. Major Raghavan,,49 ,Apollo Cancer Centres Chennai,Teynampet,Chennai,1000,100 
2159,Dr. Allen S Raveendran,,9 ,Udhi Eye Hospital LLP,Velachery,Chennai,400,100 
2160,Dr. Lakshmi,,9 ,Udhi Eye Hospitals,Alwarpet,Chennai,600,100 
2161,Dr. Uma Devi,,8 ,Udhi Eye Hospitals,Alwarpet,Chennai,600,100 
2162,Dr. Soundaram,,18 ,Apollo Spectra Hospital,Alwarpet,Chennai,800,100 
2163,Dr. Ashok Rangarajan,,32 ,Apollo Spectra Hospital,Alwarpet,Chennai,700,95 
2164,Dr. Radhi Malar,,20 ,Fortis Malar Hospital,Adyar,Chennai,500,99 
2167,Dr. Akanksha Batra,,13 ,Practo Care Surgeries,Erandwane,Pune,500,100 
2168,Dr. Jeevan Kale,,20 ,Practo Care Surgeries,Erandwane,Pune,500,100 
2169,Dr. Vimal Parmar,,20 ,Practo Care Surgeries,MG Road,Pune,499,97 
2170,Dr. Aarati Desai,,18 ,Shriram Eye Care And Polyclinic,Erandwane,Pune,500,100 
2171,Dr. Kaushik Shah,,24 ,Ashwini Netralaya,Pimpri-Chinchwad,Pune,500,97 
2172,Dr. Dipti Murkute (Pansare),,20 ,O2 Eye Care,Kharadi,Pune,600,97 
2173,Dr. Bhagwan Jogdand,,18 ,Jyoti Eye Clinic,Pimpri-Chinchwad,Pune,400,100 
2174,Dr. Vitthal Satav,,26 ,Aakash Eye Clinic & Laser Centre,Viman Nagar,Pune,500,96 
2175,Dr. Anagha Behere,,28 ,Lifeline Hospital,Aundh,Pune,600,99 
2176,Dr. Anand Palimkar,,26 ,Dr Agarwals Eye Hospital,Viman Nagar,Pune,600,96 
2178,Dr. Ankush Mutreja,,15 ,Practo Care Surgeries,Dwarka,Delhi,699,91 
2179,Dr. Lagan Paul Mutreja,,13 ,Practo Care Surgeries,Dwarka,Delhi,500,100 
2180,Dr. Rajat Jain,,16 ,Practo Care Surgeries,Delhi,Delhi,599,89 
2181,Dr. Shweta Jain,,11 ,Practo Care Surgeries,Paschim Vihar,Delhi,499,98 
2182,Dr. Robin Aggarwal,,13 ,Practo Care Surgeries,Panchsheel Park,Delhi,699,100 
2183,Dr. Manik Mittal,,13 ,Practo Care Surgeries,Paschim Vihar,Delhi,699,98 
2184,Dr. Saurabh Singh,,21 ,Practo Care Surgeries,Panchsheel Park,Delhi,699,80 
2185,Dr. Rakesh Mahajan,,37 ,Practo Care Surgeries,Pitampura,Delhi,500,100 
2186,Dr. SK Khanna,,48 ,Khanna Medicare Centre,Patel Nagar West,Delhi,800,98 
2187,Dr. Vaibhav Khanna,,8 ,Khanna Medicare Centre,Patel Nagar West,Delhi,600,100 
2190,Dr. Sunitha Kayidhi,,10 ,Continental Hospitals,Gachibowli,Hyderabad,800,100 
2191,Dr. Dheeraj Kondagari,,20 ,Endorheuma Care,Dilsukhnagar,Hyderabad,1200,96 
2192,Dr. Mohammad Irfan,,9 ,Medicover Cancer Hospital,Hitech City,Hyderabad,500,83 
2193,Dr. Jugal Kishore Kadel,,27 ,Care Hospitals,Banjara Hills,Hyderabad,500,82 
2194,Dr. Sagar Bhattad,,14 ,Ankura Hospital for Women & Children- kukatpally,Kukatpally,Hyderabad,800,100 
2195,Dr. Raj Kiran,,18 ,Hyderabad Rheumatology Centre,Begumpet,Hyderabad,500,93 
2196,Dr. Sarvajeet Pal,,33 ,Advance Rheumatology Center,Somajiguda,Hyderabad,800,95 
2197,Dr. U R K Rao,,44 ,Sri Deepti Rheumatology Center,Lakdikapul,Hyderabad,500,91 
2198,Dr. Sravan Kumar Appani,,14 ,Virinchi Hospitals,Banjara Hills,Hyderabad,500,100 
2199,Dr. A N Roy,,19 ,Arthritis & Osteoporosis Clinic,Habsiguda,Hyderabad,600,97 
2202,Dr. Vijay Rao K R,,21 ,Divisha Arthritis and Medical Center,Basaveshwaranagar,Bangalore,1200,97 
2203,Dr. Chethana Dharmapalaiah,,18 ,Aster CMI Hospital,Hebbal,Bangalore,1000,97 
2204,Dr. Uma Karjigi,,22 ,Apollo Speciality Hospitals,Jayanagar,Bangalore,1000,82 
2205,Dr. Srinivasa.C,,20 ,Fortis Hospital,Bannerghatta Road,Bangalore,850,98 
2206,Dr. Abhishek Patil,,12 ,Manipal Hospitals Old Airport Road,Old Airport Road,Bangalore,900,81 
